dir,dist1,dist2
1WM1bot.pdb_1WM1cap.pdb,15.3844336262,6.97171958702
1WM1bot.pdb_1WM1cap.pdb,23.8867856774,7.40016344414
1WM1bot.pdb_1WM1cap.pdb,16.585809929,6.40998954757
1WM1bot.pdb_1WM1cap.pdb,12.9409415809,8.38031061477
1WM1bot.pdb_1WM1cap.pdb,27.3774601817,10.4451720905
1WM1bot.pdb_1WM1cap.pdb,25.4781202015,10.2015025364
1WM1bot.pdb_1WM1cap.pdb,12.786377986,10.9970239611
1WM1bot.pdb_1WM1cap.pdb,19.9273565984,6.21968134232
1WM1bot.pdb_1WM1cap.pdb,19.5737201625,7.0960675025
1WM1bot.pdb_1WM1cap.pdb,22.593271764,8.1263331214
1WM1bot.pdb_1WM1cap.pdb,28.327260104,8.50369931265
1WM1bot.pdb_1WM1cap.pdb,26.4436266045,11.307983861
1WM1bot.pdb_1WM1cap.pdb,27.7218077513,9.16079538031
1WM1bot.pdb_1WM1cap.pdb,17.2646251625,8.1243408348
1WM1bot.pdb_1WM1cap.pdb,31.7645203962,10.0569216463
1WM1bot.pdb_1WM1cap.pdb,17.2392270418,6.97657552098
1WM1bot.pdb_1WM1cap.pdb,32.6778017927,9.9845091016
1WM1bot.pdb_1WM1cap.pdb,25.2404504714,9.75859974587
1WM1bot.pdb_1WM1cap.pdb,16.1821188662,10.4851264656
1WM1bot.pdb_1WM1cap.pdb,14.3944515005,6.8142382553
1WM1bot.pdb_1WM1cap.pdb,19.2400204782,6.48391016286
1WM1bot.pdb_1WM1cap.pdb,16.7335884078,5.42439434407
1WM1bot.pdb_1WM1cap.pdb,23.4653020863,9.24543352147
1WM1bot.pdb_1WM1cap.pdb,21.9473743532,11.0423874683
1WM1bot.pdb_1WM1cap.pdb,21.9146815172,10.8607673302
1WM1bot.pdb_1WM1cap.pdb,22.6695908653,9.02969135685
1WM1bot.pdb_1WM1cap.pdb,15.804336272,9.71195098834
1WM1bot.pdb_1WM1cap.pdb,16.3175517159,5.61224384716
1WM1bot.pdb_1WM1cap.pdb,10.8913667186,10.8094825963
1WM1bot.pdb_1WM1cap.pdb,7.95112627242,9.05153169359
1WM1bot.pdb_1WM1cap.pdb,14.8739785195,10.4156955121
1WM1bot.pdb_1WM1cap.pdb,27.5286634256,10.7871980143
1WM1bot.pdb_1WM1cap.pdb,13.2051635734,10.2684871817
1WM1bot.pdb_1WM1cap.pdb,28.6274501484,5.82014939671
1WM1bot.pdb_1WM1cap.pdb,16.6752364301,5.17149156434
1WM1bot.pdb_1WM1cap.pdb,16.6695354464,7.19571393261
1WM1bot.pdb_1WM1cap.pdb,9.25540220628,8.53525025995
1WM1bot.pdb_1WM1cap.pdb,18.612059021,10.749159502
1WM1bot.pdb_1WM1cap.pdb,19.1018423719,4.70878869774
1WM1bot.pdb_1WM1cap.pdb,12.8615293414,10.6804045335
1WM1bot.pdb_1WM1cap.pdb,22.8764689802,8.3724193636
1WM1bot.pdb_1WM1cap.pdb,17.5801944528,5.75074030017
1WM1bot.pdb_1WM1cap.pdb,13.7477375593,5.70879549467
1WM1bot.pdb_1WM1cap.pdb,7.69753428053,9.22127756875
